Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
98;21100855826;"Current protocols in plant biology";journal;"23798068";0,831;Q1;7;19;48;525;84;48;1,74;27,63;United States;Northern America;"John Wiley and Sons Inc.";"2017-2020";"Plant Science (Q1); Biochemistry (Q2); Genetics (Q3); Molecular Biology (Q3)"
99;16534;"Phytochemistry";journal;"00319422, 18733700";0,820;Q1;176;263;645;12505;2424;643;3,90;47,55;United Kingdom;Western Europe;"Elsevier Ltd.";"1961-2020";"Horticulture (Q1); Plant Science (Q1); Biochemistry (Q2); Medicine (miscellaneous) (Q2); Molecular Biology (Q3)"
100;17307;"Taxon";journal;"00400262, 19968175";0,819;Q1;81;193;547;5703;671;271;0,98;29,55;Austria;Western Europe;"International Association for Plant Taxonomy";"1970-1971, 1982-1984, 1989-2020";"Plant Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
101;21100900275;"Horticultural Plant Journal";journal;"20959885, 24680141";0,807;Q1;9;44;63;2611;209;62;3,32;59,34;China;Asiatic Region;"Elsevier BV";"2018-2020";"Plant Science (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
102;76879;"Breeding Science";journal;"13447610, 13473735";0,799;Q1;53;75;216;3423;451;183;1,91;45,64;Japan;Asiatic Region;"Japanese Society of Breeding";"1993-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Genetics (Q3)"
103;19261;"Journal of Plant Research";journal;"09189440, 16180860";0,795;Q1;67;80;264;4238;603;249;2,10;52,98;Japan;Asiatic Region;"Springer Japan";"1993-2020";"Plant Science (Q1)"
104;21100788801;"Rhizosphere";journal;"24522198";0,792;Q1;15;81;144;4970;423;143;3,11;61,36;Netherlands;Western Europe;"Elsevier BV";"2016-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q2)"
105;50088;"European Journal of Forest Research";journal;"16124677, 16124669";0,790;Q1;63;90;220;5776;604;219;2,60;64,18;Germany;Western Europe;"Springer Verlag";"1996-1997, 2002, 2004-2020";"Forestry (Q1); Plant Science (Q1)"
106;21100203903;"Journal of Integrative Agriculture";journal;"20953119";0,784;Q1;47;284;849;13239;2709;827;2,87;46,62;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Food Animals (Q1); Food Science (Q1); Plant Science (Q1); Biochemistry (Q2); Ecology (Q2)"
107;18400156716;"Fottea";journal;"18025439, 18054927";0,783;Q1;25;21;54;940;128;54;2,84;44,76;Czech Republic;Eastern Europe;"Czech Phycological Society";"2008-2020";"Plant Science (Q1)"
108;21100898636;"Foods";journal;"23048158";0,774;Q1;38;1626;949;90646;4253;942;4,12;55,75;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2018-2020";"Food Science (Q1); Health Professions (miscellaneous) (Q1); Health (social science) (Q1); Plant Science (Q1); Microbiology (Q3)"
109;130184;"Systematics and Biodiversity";journal;"14772000, 14780933";0,772;Q1;41;73;163;5217;348;160;2,10;71,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2020";"Plant Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
110;17405;"Canadian Journal of Plant Pathology";journal;"17152992, 07060661";0,762;Q1;55;89;166;4282;344;130;2,28;48,11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1)"
111;16515;"Photosynthetica";journal;"03003604, 15739058";0,755;Q1;68;117;357;6263;1103;349;3,07;53,53;Czech Republic;Eastern Europe;"Springer Netherlands";"1979, 1981, 1983, 1985, 1988-1989, 1993-2020";"Plant Science (Q1); Physiology (Q3)"
112;16532;"Physiology and Molecular Biology of Plants";journal;"09740430, 09715894";0,754;Q1;35;199;319;10809;990;318;2,41;54,32;India;Asiatic Region;"Springer India";"2000-2020";"Plant Science (Q1); Molecular Biology (Q3); Physiology (Q3)"
113;4700151601;"Botanical Studies";journal;"1817406X";0,750;Q1;50;28;121;1261;337;121;2,70;45,04;Switzerland;Western Europe;"Springer International Publishing AG";"2006-2020";"Plant Science (Q1)"
114;8200153106;"Plant Signaling and Behavior";journal;"15592316";0,747;Q2;81;192;524;7884;1052;511;1,86;41,06;United States;Northern America;"Landes Bioscience";"2006-2020";"Plant Science (Q2)"
115;33461;"Soil Science and Plant Nutrition";journal;"00380768, 17470765";0,747;Q1;61;99;227;4519;529;223;2,16;45,65;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1955-2020";"Plant Science (Q1); Soil Science (Q2)"
116;19833;"Mycopathologia";journal;"15730832, 0301486X";0,744;Q2;73;111;324;4705;855;303;2,21;42,39;Netherlands;Western Europe;"Springer Netherlands";"1938-1941, 1943, 1948-1950, 1959-1962, 1973-2020";"Agronomy and Crop Science (Q1); Veterinary (miscellaneous) (Q1); Applied Microbiology and Biotechnology (Q2); Plant Science (Q2); Microbiology (Q3)"
117;21100871606;"Plant Diversity";journal;"24682659, 20962703";0,738;Q2;15;71;125;3698;347;120;2,33;52,08;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2016-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
118;16728;"Aquatic Botany";journal;"03043770";0,733;Q2;94;81;256;4148;590;255;2,35;51,21;Netherlands;Western Europe;"Elsevier";"1975-2020";"Aquatic Science (Q1); Plant Science (Q2)"
