Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";11,695;Q1;262;29;79;4986;2059;79;25,28;171,93;United States;Northern America;"Annual Reviews Inc.";"1996-2020";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
2;11300153736;"Annual Review of Pathology: Mechanisms of Disease";journal;"15534006, 15534014";9,417;Q1;122;20;56;2953;1260;56;21,69;147,65;United States;Northern America;"Annual Reviews Inc.";"2006-2020";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
3;18567;"Fungal Diversity";journal;"15602745, 18789129";7,743;Q1;94;24;65;6920;1153;64;18,39;288,33;Netherlands;Western Europe;"Springer Netherlands";"1998-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
4;16715;"Annual Review of Phytopathology";journal;"00664286, 15452107";6,195;Q1;160;17;76;2348;1216;76;12,73;138,12;United States;Northern America;"Annual Reviews Inc.";"1973, 1981, 1987, 1989-2020";"Medicine (miscellaneous) (Q1); Plant Science (Q1)"
5;17269;"Studies in Mycology";journal;"01660616";6,180;Q1;95;15;49;2353;774;49;16,03;156,87;Netherlands;Western Europe;"Westerdijk Fungal Biodiversity Institute";"1996, 1998-2000, 2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
6;21100416121;"Nature Plants";journal;"2055026X";5,380;Q1;71;235;656;8508;4789;386;7,11;36,20;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2010, 2015-2020";"Plant Science (Q1)"
7;16594;"Plant Cell";journal;"1532298X, 10404651";5,324;Q1;341;333;752;16240;5787;546;6,75;48,77;United States;Northern America;"American Society of Plant Biologists";"1989-2020";"Cell Biology (Q1); Plant Science (Q1)"
8;17600155011;"Molecular Plant";journal;"16742052, 17529867";4,588;Q1;115;153;474;8872;4792;380;9,60;57,99;United States;Northern America;"Cell Press";"2008-2020";"Molecular Biology (Q1); Plant Science (Q1)"
9;17809;"Trends in Plant Science";journal;"13601385, 18784372";4,587;Q1;263;162;386;9428;4844;377;11,39;58,20;United Kingdom;Western Europe;"Elsevier Ltd.";"1996-2020";"Plant Science (Q1)"
10;19988;"Persoonia: Molecular Phylogeny and Evolution of Fungi";journal;"00315850";4,508;Q1;58;21;63;1974;599;61;9,73;94,00;Netherlands;Western Europe;"National Herbarium Nederland";"1996-2000, 2002-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
11;17924;"Current Opinion in Plant Biology";journal;"18790356, 13695266";4,155;Q1;205;115;355;7507;3014;336;7,09;65,28;United Kingdom;Western Europe;"Elsevier Ltd.";"1998-2020";"Plant Science (Q1)"
12;13096;"BMC Biology";journal;"17417007";3,952;Q1;106;195;381;14317;2551;340;5,91;73,42;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)"
13;19908;"New Phytologist";journal;"14698137, 0028646X";3,742;Q1;244;721;1824;48381;14900;1570;7,96;67,10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1902-2020";"Physiology (Q1); Plant Science (Q1)"
14;16615;"Plant Physiology";journal;"00320889, 15322548";3,554;Q1;312;553;1467;31589;10821;1287;6,79;57,12;United States;Northern America;"American Society of Plant Biologists";"1965-1971, 1975, 1977-2020";"Genetics (Q1); Physiology (Q1); Plant Science (Q1)"
15;16592;"Plant Biotechnology Journal";journal;"14677644, 14677652";3,525;Q1;115;283;527;14827;4944;483;8,66;52,39;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2020";"Agronomy and Crop Science (Q1); Biotechnology (Q1); Plant Science (Q1)"
16;16612;"Plant Journal";journal;"1365313X, 09607412";3,058;Q1;269;487;1050;34677;7143;1005;5,53;71,21;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2020";"Cell Biology (Q1); Genetics (Q1); Plant Science (Q1)"
17;130165;"Journal of Integrative Plant Biology";journal;"16729072, 17447909";2,734;Q1;83;145;251;8477;1450;197;5,86;58,46;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2020";"Biochemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Plant Science (Q1)"
18;13041;"Plant, Cell and Environment";journal;"01407791, 13653040";2,646;Q1;200;231;692;18208;4745;659;6,60;78,82;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2020";"Physiology (Q1); Plant Science (Q1)"
19;19210;"Journal of Experimental Botany";journal;"14602431, 00220957";2,616;Q1;242;564;1412;41388;9251;1405;6,09;73,38;United Kingdom;Western Europe;"Oxford University Press";"1950-2020";"Physiology (Q1); Plant Science (Q1)"
20;21100887409;"Life Science Alliance";journal;"25751077";2,570;Q1;14;144;232;8466;929;230;4,00;58,79;United States;Northern America;"Rockefeller University Press";"2018-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Ecology (Q1); Health, Toxicology and Mutagenesis (Q1); Plant Science (Q1)"
21;29602;"Journal of Ecology";journal;"00220477, 13652745";2,452;Q1;181;210;573;16936;3184;559;5,21;80,65;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976, 1979-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
22;19019;"Plant and Cell Physiology";journal;"00320781, 14719053";1,975;Q1;152;143;685;8325;3160;660;4,33;58,22;United Kingdom;Western Europe;"Oxford University Press";"1959-2020";"Cell Biology (Q1); Medicine (miscellaneous) (Q1); Physiology (Q1); Plant Science (Q1)"
23;21100773746;"Horticulture Research";journal;"20527276";1,947;Q1;31;210;248;13396;1494;246;6,07;63,79;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2020";"Biochemistry (Q1); Biotechnology (Q1); Genetics (Q1); Horticulture (Q1); Plant Science (Q1)"
24;19790;"Molecular Plant Pathology";journal;"13643703, 14646722";1,945;Q1;103;117;432;7942;2286;425;5,42;67,88;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2000-2020";"Agronomy and Crop Science (Q1); Molecular Biology (Q1); Plant Science (Q1); Soil Science (Q1)"
25;16658;"Preslia";journal;"00327786";1,792;Q1;49;12;38;1054;178;38;4,19;87,83;Czech Republic;Eastern Europe;"Czech Botanical Society";"1979, 1982-2020";"Ecology (Q1); Plant Science (Q1)"
26;21100313905;"Frontiers in Plant Science";journal;"1664462X";1,752;Q1;125;2184;5901;159006;34568;5783;5,44;72,80;Switzerland;Western Europe;"Frontiers Media S.A.";"2010-2020";"Plant Science (Q1)"
27;21100406884;"IMA Fungus";journal;"22106359, 22106340";1,736;Q1;33;24;98;2153;388;86;3,26;89,71;United States;Northern America;"International Mycological Association";"2010-2012, 2014-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
28;36753;"Critical Reviews in Plant Sciences";journal;"15497836, 07352689";1,713;Q1;116;21;53;4535;322;51;4,12;215,95;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2020";"Plant Science (Q1)"
29;21100886355;"Journal of Fungi";journal;"2309608X";1,702;Q1;28;377;320;26689;2032;307;5,27;70,79;Switzerland;Western Europe;"MDPI AG";"2015-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (medical) (Q1); Plant Science (Q1)"
30;59988;"European Journal of Agronomy";journal;"11610301";1,684;Q1;112;128;361;7627;2005;358;5,18;59,59;Netherlands;Western Europe;"Elsevier";"1993-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q1)"
31;16711;"Annals of Botany";journal;"03057364, 10958290";1,567;Q1;176;185;632;13580;2643;605;3,68;73,41;United Kingdom;Western Europe;"Oxford University Press";"1887-2020";"Plant Science (Q1)"
32;19500157075;"Rice";journal;"19398425, 19398433";1,562;Q1;50;81;215;4489;989;214;4,60;55,42;United States;Northern America;"Springer Publishing Company";"2008-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q1)"
33;21100220500;"Plant Reproduction";journal;"21947961, 21947953";1,558;Q1;59;17;80;956;266;76;3,52;56,24;Germany;Western Europe;"Springer Verlag";"2013-2020";"Plant Science (Q1); Cell Biology (Q2)"
34;16620;"Plant Science";journal;"01689452, 18732259";1,508;Q1;150;317;735;22030;3411;727;4,54;69,50;Ireland;Western Europe;"Elsevier Ireland Ltd";"1983, 1985-2020";"Agronomy and Crop Science (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Plant Science (Q1)"
35;6300153114;"Fungal Biology Reviews";journal;"17494613";1,495;Q1;52;18;53;1851;319;51;3,97;102,83;Netherlands;Western Europe;"Elsevier BV";"2007-2020";"Microbiology (Q1); Plant Science (Q1)"
36;13042;"Plant Molecular Biology";journal;"15735028, 01674412";1,448;Q1;174;136;369;8269;1464;367;3,81;60,80;Netherlands;Western Europe;"Springer Netherlands";"1981-2020";"Agronomy and Crop Science (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Plant Science (Q1)"
37;21100791247;"Crop Journal";journal;"20955421, 22145141";1,437;Q1;29;127;205;6703;1024;202;4,55;52,78;China;Asiatic Region;"Institute of Crop Sciences (ICS)";"1970, 2013-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1)"
38;21100447118;"Mycosphere";journal;"20777019, 20777000";1,427;Q1;21;11;191;3589;598;188;4,11;326,27;China;Asiatic Region;"Guizhou Key Laboratory of Agricultural Biotechnology";"2014-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
39;18012;"Environmental and Experimental Botany";journal;"00988472";1,419;Q1;131;275;739;20151;4061;735;5,36;73,28;Netherlands;Western Europe;"Elsevier";"1976-2020";"Agronomy and Crop Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
40;17807;"Tree Physiology";journal;"0829318X, 17584469";1,414;Q1;130;106;483;6997;1814;458;3,62;66,01;United Kingdom;Western Europe;"Oxford University Press";"1990-2020";"Physiology (Q1); Plant Science (Q1)"
41;21100256980;"Plant Genome";journal;"19403372";1,403;Q1;41;63;161;3804;690;161;3,64;60,38;United States;Northern America;"Crop Science Society of America";"2012-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Genetics (Q2)"
42;16595;"Plant Cell Reports";journal;"07217714, 1432203X";1,386;Q1;108;144;408;8497;1866;402;4,49;59,01;Germany;Western Europe;"Springer Verlag";"1981-2020";"Agronomy and Crop Science (Q1); Medicine (miscellaneous) (Q1); Plant Science (Q1)"
43;21100923620;"Phytobiomes Journal";journal;"24712906";1,382;Q1;12;33;73;2646;310;71;3,51;80,18;United States;Northern America;"American Phytopathological Society";"2017-2020";"Agronomy and Crop Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1); Molecular Biology (Q2)"
44;16794;"BMC Plant Biology";journal;"14712229";1,378;Q1;114;560;1231;34463;5495;1228;4,14;61,54;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Plant Science (Q1)"
45;16530;"Physiologia Plantarum";journal;"00319317, 13993054";1,351;Q1;146;243;419;17077;1761;405;4,04;70,28;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-2020";"Medicine (miscellaneous) (Q1); Physiology (Q1); Plant Science (Q1); Cell Biology (Q2); Genetics (Q2)"
46;6400153153;"Plant Methods";journal;"17464811";1,350;Q1;70;146;383;7422;2061;383;5,14;50,84;United Kingdom;Western Europe;"BioMed Central Ltd.";"2005-2020";"Biotechnology (Q1); Plant Science (Q1); Genetics (Q2)"
47;22023;"Integrative and Comparative Biology";journal;"15577023, 15407063";1,328;Q1;123;122;380;9160;1114;376;2,58;75,08;United Kingdom;Western Europe;"Oxford University Press";"1961-2020";"Animal Science and Zoology (Q1); Medicine (miscellaneous) (Q1); Plant Science (Q1)"
48;19700188222;"Journal of Ginseng Research";journal;"20934947, 12268453";1,287;Q1;43;109;233;5282;1303;232;5,60;48,46;Netherlands;Western Europe;"The Korean Society of Ginseng";"2010-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Complementary and Alternative Medicine (Q1); Plant Science (Q1)"
